Topic,Time,Topic Words
0,2013,"['chemical', 'gorran', 'haha', 'exile', 'scandinavia', 'syria', 'nowar', 'mentalasylum', 'argos', 'emigrate', 'kinda', 'batman', 'lampedusa', 'romanian', 'hr', 'sat', 'justice', 'nwe', 'mail', 'breakfast']"
0,2014,"['ukip', 'europedebate', 'ferdinand', 'pirate', 'eurovisionsongcontest', 'bnp', 'childrenofsyria', 'almedalen', 'breakingnews', 'prague', 'mahool', 'europeanelection', 'unforumwatch', 'kurd', 'tissue', 'blunkett', 'romania', 'bigimmigrationrow', 'syrie', 'southyorkshire']"
0,2015,"['wethenorth', 'den', 'macedonia', 'srilanka', 'esn', 'thorne', 'refugeecrisis', 'leadersdebate', 'mastersofdarkness', 'tragedy', 'crypticaesthetic', 'immigrationstreet', 'oxon', 'advance', 'bourgeois', 'leanne', 'blackforest', 'commander', 'euskadi', 'mug']"
0,2016,"['vip', 'chateau', 'amalficoast', 'dailymail', 'cheshire', 'seegirltravel', 'ale', 'honeymoon', 'bud', 'burano', 'viewpoint', 'memorial', 'adventurepickle', 'sevilla', 'deutschland', 'accidentally', 'wld', 'bookshop', 'stroll', 'linc']"
0,2017,"['travel', 'paris', 'switzerland', 'sunset', 'italy', 'traveller', 'netherlands', 'architecture', 'tour', 'france', 'night', 'wanderlust', 'england', 'holiday', 'sky', 'tower', 'mountain', 'good', 'rome', 'love']"
0,2018,"['zurich', 'legend', 'england', 'tour', 'blackandwhite', 'travel', 'welcomehome', 'travelphotograph', 'warsaw', 'dream', 'photographer', 'photography', 'explore', 'austria', 'travelpictureoftheday', 'mission', 'energy', 'wanderlust', 'tb', 'spain']"
0,2019,"['nt', 'global', 'immigration', 'white', 'russia', 'fake', 'create', 'vote', 'raid', 'day', 'racism', 'lead', 'force', 'israel', 'boris', 'eu', 'immigrant', 'vacation', 'great', 'wage']"
0,2020,"['illegal', 'move', 'africa', 'avoid', 'trump', 'nt', 'seeker', 'long', 'exile', 'european', 'eu', 'order', 'patel', 'positive', 'strand', 'europe', 'talk', 'immigrant', 'book', 'boris']"
1,2013,"['immigration', 'arkham', 'syria', 'alien', 'bill', 'bottle', 'government', 'exile', 'blast', 'die', 'prague', 'twitter', 'obama', 'immigrant', 'migraine', 'wait', 'horror', 'point', 'country', 'dinner']"
1,2014,"['europeanelection', 'homosexuality', 'bigimmigrationrow', 'coven', 'ukip', 'bizhumanright', 'nathan', 'gazaunderattack', 'withsyria', 'tripe', 'boost', 'irantalk', 'isil', 'baghdad', 'poll', 'kobane', 'limit', 'owl', 'europedebate', 'esp']"
1,2015,"['dalailama', 'europe', 'ukip', 'offensive', 'immigration', 'ge', 'regime', 'daily', 'ibiza', 'positive', 'respond', 'migrantcrisis', 'lesbian', 'ilovedn', 'southampton', 'allwelcome', 'brick', 'lgbt', 'refugee', 'arrest']"
1,2016,"['iphoneisnotdead', 'euskadi', 'adventurepickle', 'bavarian', 'seafood', 'livingthedream', 'exeter', 'jungle', 'cotedazur', 'berkshire', 'anton', 'palmyra', 'menton', 'audi', 'beef', 'ap', 'euref', 'vscogrid', 'dirkschumacher', 'esn']"
1,2017,"['adv', 'aux', 'aurevoir', 'jena', 'pescatarian', 'caminodesantiago', 'nether', 'mobilisation', 'norwich', 'eventim', 'wilkomman', 'welkom', 'rooms', 'cymru', 'rhineriver', 'egaylity', 'fort', 'trevifountain', 'dji', 'surrey']"
1,2018,"['travel', 'spain', 'paris', 'travelgram', 'italy', 'netherlands', 'adventure', 'france', 'instatravel', 'espaa', 'barcelona', 'en', 'wanderlust', 'blue', 'food', 'nature', 'drink', 'holiday', 'amsterdam', 'trip']"
1,2019,"['europe', 'travel', 'spain', 'love', 'germany', 'london', 'trip', 'city', 'amsterdam', 'paris', 'rome', 'italy', 'summer', 'holiday', 'refugee', 'italia', 'human', 'photography', 'sea', 'view']"
